t0_date,p0_date,event,duration_days,potential_followup_days,p1_date
2017-04-05,2017-03-10,0,560.119109,560.119109,
2017-11-01,2017-10-12,0,349.838345,349.838345,
2017-11-27,2017-11-14,0,323.764838,323.764838,
2018-04-07,2018-04-05,0,193.053877,193.053877,
2018-03-16,2018-02-28,0,214.935729,214.935729,
2017-03-09,2017-03-04,0,587.373032,587.373032,
2017-08-03,2017-07-18,0,439.949641,439.949641,
2017-11-29,2017-11-19,0,321.815845,321.815845,
2018-04-09,2018-03-24,0,191.162917,191.162917,
2017-08-22,2017-08-11,0,420.855799,420.855799,
2017-10-13,2017-09-29,0,369.152905,369.152905,
2017-12-27,2017-12-12,0,294.661875,294.661875,
2018-01-11,2018-01-07,0,278.798553,278.798553,
2017-08-21,2017-08-17,0,421.924722,421.924722,
2017-07-26,2017-07-11,0,448.281771,448.281771,
2018-03-28,2018-03-05,0,203.035498,203.035498,
2017-09-08,2017-08-31,0,403.899884,403.899884,
2017-02-01,2017-01-21,0,622.814375,622.814375,
2017-05-12,2017-04-24,0,523.142778,523.142778,
2017-07-06,2017-06-28,0,468.01287,468.01287,
2017-08-16,2017-08-05,0,427.01463,427.01463,
2017-10-24,2017-10-17,0,357.940451,357.940451,
2018-01-26,2018-01-18,0,263.785891,263.785891,
2017-05-04,2017-04-19,0,531.122454,531.122454,
2017-08-25,2017-08-17,0,417.856042,417.856042,
2018-03-22,2018-02-22,0,208.806447,208.806447,
2018-02-16,2018-02-11,0,243.153947,243.153947,
2017-07-03,2017-06-29,0,471.377523,471.377523,
2018-01-08,2017-12-08,0,281.761863,281.761863,
2017-03-30,2017-03-19,0,566.408831,566.408831,
2017-04-19,2017-03-26,0,546.327257,546.327257,
2018-04-18,2018-03-28,0,181.885104,181.885104,
2018-03-28,2018-03-25,0,202.906782,202.906782,
2018-01-05,2017-12-13,0,284.942269,284.942269,
2018-01-16,2018-01-07,0,273.946968,273.946968,
2017-11-08,2017-10-27,0,342.939514,342.939514,
2017-10-20,2017-10-08,0,361.934826,361.934826,
2017-02-10,2017-02-01,0,614.331539,614.331539,
2017-12-14,2017-12-05,0,307.063495,307.063495,
2017-11-30,2017-10-31,0,320.893299,320.893299,
2018-01-22,2018-01-15,0,268.117199,268.117199,
