segment_type,segment,is_baseline,n,event_rate,repurchase_by_180d,repurchase_by_365d,HR,HR_lower_95,HR_upper_95,p
category,bed_bath_table,True,6087,0.031543,0.023,0.032778,1.0,1.0,1.0,
category,sports_leisure,False,5259,0.029663,0.022438,0.031651,1.056018,0.965781,1.154686,0.231711
category,health_beauty,False,5070,0.023669,0.017751,0.024386,0.997284,0.91021,1.092689,0.953481
category,computers_accessories,False,4524,0.019673,0.012821,0.023976,0.978481,0.884917,1.081938,0.671412
category,furniture_decor,False,4222,0.031739,0.020606,0.033591,1.055222,0.958681,1.161485,0.272207
category,housewares,False,3331,0.023717,0.015311,0.024225,0.975606,0.874939,1.087856,0.656714
category,watches_gifts,False,3073,0.02343,0.016271,0.02523,0.994502,0.886227,1.116005,0.925312
category,telephony,False,2937,0.023493,0.016684,0.023485,0.971161,0.864592,1.090866,0.621707
state,SP,False,26097,0.02713,0.020002,0.028804,1.032495,0.981955,1.085637,0.21173
state,RJ,False,8278,0.026576,0.018,0.02736,1.023408,0.952311,1.099812,0.528795
state,MG,False,7695,0.024172,0.017414,0.024753,1.000742,0.928481,1.078627,0.984518
state,RS,False,3672,0.024237,0.015523,0.02573,0.996005,0.896552,1.10649,0.940547
state,PR,False,3287,0.022209,0.014603,0.024194,0.985096,0.881749,1.100555,0.79058
state,SC,False,2455,0.021589,0.013849,0.022924,0.98765,0.869002,1.122497,0.849066
